Institution Name,State,Year,Revenue
Bowie State University,Maryland,2016,152878502
Bowie State University,Maryland,2015,110744276
Bowie State University,Maryland,2014,105742180
Bowie State University,Maryland,2013,96993228
Bowie State University,Maryland,2012,101926787
Bowie State University,Maryland,2011,122215085
Bowie State University,Maryland,2010,96036460
Bowie State University,Maryland,2009,85233882
Bowie State University,Maryland,2008,84278728
Bowie State University,Maryland,2007,96478943
Bowie State University,Maryland,2006,70508916
Bowie State University,Maryland,2005,66714624
Bowie State University,Maryland,2004,65259691
Bowie State University,Maryland,2003,68987816
Bowie State University,Maryland,2002,66766191
Bowling Green State University-Main Campus,Ohio,2022,394737522
Bowling Green State University-Main Campus,Ohio,2021,444087565
Bowling Green State University-Main Campus,Ohio,2020,389204598
Bowling Green State University-Main Campus,Ohio,2019,391440305
Bowling Green State University-Main Campus,Ohio,2018,390448652
Bowling Green State University-Main Campus,Ohio,2017,401663266
Bowling Green State University-Main Campus,Ohio,2016,380994540
Bowling Green State University-Main Campus,Ohio,2015,349122229
Bowling Green State University-Main Campus,Ohio,2014,374813490
Bowling Green State University-Main Campus,Ohio,2013,368148528
Bowling Green State University-Main Campus,Ohio,2012,360833625
Bowling Green State University-Main Campus,Ohio,2011,418230240
Bowling Green State University-Main Campus,Ohio,2010,386071722
Bowling Green State University-Main Campus,Ohio,2009,328675119
Bowling Green State University-Main Campus,Ohio,2008,361817742
Bowling Green State University-Main Campus,Ohio,2007,387236354
Bowling Green State University-Main Campus,Ohio,2006,360103221
Bowling Green State University-Main Campus,Ohio,2005,348761873
Bowling Green State University-Main Campus,Ohio,2004,323586875
Bowling Green State University-Main Campus,Ohio,2003,311389722
Bowling Green State University-Main Campus,Ohio,2002,310947645
Brazosport College,Texas,2022,63121231
Brazosport College,Texas,2021,55604938
Brazosport College,Texas,2020,51624193
Brazosport College,Texas,2019,51979609
Brazosport College,Texas,2018,50684882
Brazosport College,Texas,2017,46809059
Brazosport College,Texas,2016,46032056
Brazosport College,Texas,2015,45345450
Brazosport College,Texas,2014,45536232
Brazosport College,Texas,2013,42481511
Brazosport College,Texas,2012,41071308
Brazosport College,Texas,2011,37079617
Brazosport College,Texas,2010,32119219
Brazosport College,Texas,2009,29463385
Brazosport College,Texas,2008,25430257
Brazosport College,Texas,2007,27010608
Brazosport College,Texas,2006,26454975
Brazosport College,Texas,2005,25943630
Brazosport College,Texas,2004,25608848
Brazosport College,Texas,2003,20269669
Brazosport College,Texas,2002,19813912
Bridgewater State University,Massachusetts,2022,250971874
Bridgewater State University,Massachusetts,2021,232666582
Bridgewater State University,Massachusetts,2020,207058250
Bridgewater State University,Massachusetts,2019,218406444
Bridgewater State University,Massachusetts,2018,208664299
Bridgewater State University,Massachusetts,2017,201799470
Bridgewater State University,Massachusetts,2016,191901268
Bridgewater State University,Massachusetts,2015,269772790
Bridgewater State University,Massachusetts,2014,173810569
Bridgewater State University,Massachusetts,2013,165596062
Bridgewater State University,Massachusetts,2012,158738868
Bridgewater State University,Massachusetts,2011,159354394
Bridgewater State University,Massachusetts,2010,144787257
Bridgewater State University,Massachusetts,2009,139596128
Bridgewater State University,Massachusetts,2008,135515508
Bridgewater State University,Massachusetts,2007,120115166
Bridgewater State University,Massachusetts,2006,111454981
Bridgewater State University,Massachusetts,2005,103791000
Bridgewater State University,Massachusetts,2004,91255348
Bridgewater State University,Massachusetts,2003,96757274
Bridgewater State University,Massachusetts,2002,76553442
Broward College,Florida,2022,360043130
Broward College,Florida,2021,308089395
Broward College,Florida,2020,274209670
Broward College,Florida,2019,297537088
Broward College,Florida,2018,280403463
Broward College,Florida,2017,299392256
Broward College,Florida,2016,289387924
Broward College,Florida,2015,277992799
Broward College,Florida,2014,277494243
Broward College,Florida,2013,255165581
Broward College,Florida,2012,262682952
Broward College,Florida,2011,277621949
Broward College,Florida,2010,243349358
Broward College,Florida,2009,220865173
Broward College,Florida,2008,220130768
Broward College,Florida,2007,223433479
Broward College,Florida,2006,185050342
Broward College,Florida,2005,173499451
Broward College,Florida,2004,168039234
Broward College,Florida,2003,165642096
Broward College,Florida,2002,152319062
California Polytechnic State University-San Luis Obispo,California,2022,687349271
California Polytechnic State University-San Luis Obispo,California,2021,619980228
California Polytechnic State University-San Luis Obispo,California,2020,661254459
California Polytechnic State University-San Luis Obispo,California,2019,558464494
California Polytechnic State University-San Luis Obispo,California,2018,583277636
California Polytechnic State University-San Luis Obispo,California,2017,465100065
California Polytechnic State University-San Luis Obispo,California,2016,444138673
California Polytechnic State University-San Luis Obispo,California,2015,403697260
California Polytechnic State University-San Luis Obispo,California,2014,389007039
California Polytechnic State University-San Luis Obispo,California,2013,348599801
California Polytechnic State University-San Luis Obispo,California,2012,323700299
California Polytechnic State University-San Luis Obispo,California,2011,444730472
California Polytechnic State University-San Luis Obispo,California,2010,329425756
California Polytechnic State University-San Luis Obispo,California,2009,287995498
California Polytechnic State University-San Luis Obispo,California,2008,305242036
California Polytechnic State University-San Luis Obispo,California,2007,308395681
California Polytechnic State University-San Luis Obispo,California,2006,281322106
California Polytechnic State University-San Luis Obispo,California,2005,271652913
California Polytechnic State University-San Luis Obispo,California,2004,237073279
California Polytechnic State University-San Luis Obispo,California,2003,332886134
California Polytechnic State University-San Luis Obispo,California,2002,237076146
California State Polytechnic University-Humboldt,California,2022,295078891
California State Polytechnic University-Humboldt,California,2021,199856054
California State Polytechnic University-Humboldt,California,2020,224266931
California State Polytechnic University-Humboldt,California,2019,208941372
California State Polytechnic University-Humboldt,California,2018,209414833
California State Polytechnic University-Humboldt,California,2017,172970767
California State Polytechnic University-Humboldt,California,2016,169842646
California State Polytechnic University-Humboldt,California,2015,157770536
California State Polytechnic University-Humboldt,California,2014,148606139
California State Polytechnic University-Humboldt,California,2013,145919518
California State Polytechnic University-Humboldt,California,2012,148445677
California State Polytechnic University-Humboldt,California,2011,156262938
California State Polytechnic University-Humboldt,California,2010,149269949
California State Polytechnic University-Humboldt,California,2009,123046739
California State Polytechnic University-Humboldt,California,2008,134438036
California State Polytechnic University-Humboldt,California,2007,124299301
California State Polytechnic University-Humboldt,California,2006,167033188
California State Polytechnic University-Humboldt,California,2005,113420997
California State Polytechnic University-Humboldt,California,2004,135994087
California State Polytechnic University-Humboldt,California,2003,117175190
California State Polytechnic University-Humboldt,California,2002,106352614
California State Polytechnic University-Pomona,California,2022,561046381
California State Polytechnic University-Pomona,California,2021,527082268
California State Polytechnic University-Pomona,California,2020,520183103
California State Polytechnic University-Pomona,California,2019,473298174
California State Polytechnic University-Pomona,California,2018,515831736
California State Polytechnic University-Pomona,California,2017,389278686
California State Polytechnic University-Pomona,California,2016,383474098
California State Polytechnic University-Pomona,California,2015,342136910
California State Polytechnic University-Pomona,California,2014,307299238
California State Polytechnic University-Pomona,California,2013,283791011
California State Polytechnic University-Pomona,California,2012,276582232
California State Polytechnic University-Pomona,California,2011,293680127
California State Polytechnic University-Pomona,California,2010,326880124
California State Polytechnic University-Pomona,California,2009,266030127
California State Polytechnic University-Pomona,California,2008,289614565
California State Polytechnic University-Pomona,California,2007,260047657
California State Polytechnic University-Pomona,California,2006,316480472
California State Polytechnic University-Pomona,California,2005,246313385
California State Polytechnic University-Pomona,California,2004,223509556
California State Polytechnic University-Pomona,California,2003,261609373
California State Polytechnic University-Pomona,California,2002,228768567
California State University Maritime Academy,California,2022,95017218
California State University Maritime Academy,California,2021,67799259
California State University Maritime Academy,California,2020,77052419
California State University Maritime Academy,California,2019,79923764
California State University Maritime Academy,California,2018,72950874
California State University Maritime Academy,California,2017,60225054
California State University Maritime Academy,California,2016,58584026
California State University Maritime Academy,California,2015,64664353
California State University Maritime Academy,California,2014,71696466
California State University Maritime Academy,California,2013,51720812
California State University Maritime Academy,California,2012,42760040
California State University Maritime Academy,California,2011,42440948
California State University Maritime Academy,California,2010,39890171
California State University Maritime Academy,California,2009,34227793
California State University Maritime Academy,California,2008,38308072
California State University Maritime Academy,California,2007,43915057
California State University Maritime Academy,California,2006,30155544
California State University Maritime Academy,California,2005,28874689
California State University Maritime Academy,California,2004,28377442
California State University Maritime Academy,California,2003,31646227
California State University Maritime Academy,California,2002,22160590
California State University-Bakersfield,California,2022,279000733
California State University-Bakersfield,California,2021,232579529
California State University-Bakersfield,California,2020,236805205
